X Lag Time	Record 11: Sample-2 1
0.5	0.898
1	0.907
1.5	0.906
2	0.905
2.5	0.905
3	0.906
3.5	0.904
4	0.904
4.5	0.904
5.5	0.902
6.5	0.902
7.5	0.899
8.5	0.899
9.5	0.898
10.5	0.898
11.5	0.895
12.5	0.895
14.5	0.893
16.5	0.891
18.5	0.888
20.5	0.886
22.5	0.885
24.5	0.883
26.5	0.88
28.5	0.878
32.5	0.875
36.5	0.87
40.5	0.866
44.5	0.862
48.5	0.859
52.5	0.855
56.5	0.85
60.5	0.846
68.5	0.839
76.5	0.831
84.5	0.823
92.5	0.815
101	0.808
109	0.8
117	0.792
125	0.785
141	0.771
157	0.757
173	0.743
189	0.73
205	0.716
221	0.703
237	0.69
253	0.677
285	0.653
317	0.629
349	0.606
381	0.585
413	0.564
445	0.544
477	0.525
509	0.506
573	0.472
637	0.439
701	0.409
765	0.381
829	0.356
893	0.332
957	0.31
1.02E+03	0.29
1.15E+03	0.254
1.28E+03	0.222
1.40E+03	0.194
1.53E+03	0.17
1.66E+03	0.15
1.79E+03	0.132
1.92E+03	0.117
2.04E+03	0.104
2.30E+03	0.0828
2.56E+03	0.0662
2.81E+03	0.0531
3.07E+03	0.0434
3.32E+03	0.0372
3.58E+03	0.0336
3.84E+03	0.0303
4.09E+03	0.027
4.60E+03	0.0242
5.12E+03	0.0213
5.63E+03	0.0179
6.14E+03	0.0156
6.65E+03	0.0156
7.16E+03	0.0165
7.68E+03	0.0176
8.19E+03	0.0186
9.21E+03	0.0208
1.02E+04	0.0218
1.13E+04	0.0239
1.23E+04	0.021
1.33E+04	0.0181
1.43E+04	0.0182
1.54E+04	0.0217
1.64E+04	0.0211
1.84E+04	0.0186
2.05E+04	0.0198
2.25E+04	0.0182
2.46E+04	0.0157
2.66E+04	0.011
2.87E+04	0.0132
3.07E+04	0.0192
3.28E+04	0.0184
3.69E+04	0.0171
4.10E+04	0.0198
4.51E+04	0.0174
4.91E+04	0.0204
5.32E+04	0.0184
5.73E+04	0.0159
6.14E+04	0.0171
6.55E+04	0.0189
7.37E+04	0.0178
8.19E+04	0.0154
9.01E+04	0.0124
9.83E+04	0.0153
1.06E+05	0.0171
1.15E+05	0.0142
1.23E+05	0.0133
1.31E+05	0.0128
1.47E+05	0.0129
1.64E+05	0.014
1.80E+05	0.0147
1.97E+05	0.0149
2.13E+05	0.0164
2.29E+05	0.0155
2.46E+05	0.0158
2.62E+05	0.0137
2.95E+05	0.0143
3.28E+05	0.0127
3.60E+05	0.0126
3.93E+05	0.0131
4.26E+05	0.0104
4.59E+05	0.0112
4.92E+05	0.0117
5.24E+05	0.0118
5.90E+05	0.0113
6.55E+05	0.00956
7.21E+05	0.00774
7.86E+05	0.00711
8.52E+05	0.00802
9.18E+05	0.00851
9.83E+05	0.00567
1.05E+06	0.00509
1.18E+06	0.00714
1.31E+06	0.00285
1.44E+06	0.00374
1.57E+06	0.00255
1.70E+06	0.00163
1.84E+06	0.00117
1.97E+06	0.000306
2.10E+06	0.00124
2.36E+06	0.000643
2.62E+06	0
2.88E+06	0
3.15E+06	0
3.41E+06	0
3.67E+06	0
3.93E+06	0
4.19E+06	0
4.72E+06	0
5.24E+06	0
5.77E+06	0
6.29E+06	0
6.82E+06	0
7.34E+06	0
7.86E+06	0
8.39E+06	0
9.44E+06	0
1.05E+07	0
1.15E+07	0
1.26E+07	0
1.36E+07	0
1.47E+07	0
1.57E+07	0
1.68E+07	0
1.89E+07	0
2.10E+07	0
2.31E+07	0
2.52E+07	0
2.73E+07	0
2.94E+07	0
3.15E+07	0
3.36E+07	0
3.77E+07	0
4.19E+07	0
4.61E+07	0
5.03E+07	0
5.45E+07	0
5.87E+07	0
