X Lag Time	Record 25: Sample 4 3
0.5	0.98
1	0.99
1.5	0.989
2	0.99
2.5	0.989
3	0.992
3.5	0.989
4	0.99
4.5	0.989
5.5	0.988
6.5	0.989
7.5	0.987
8.5	0.988
9.5	0.986
10.5	0.985
11.5	0.985
12.5	0.985
14.5	0.984
16.5	0.982
18.5	0.981
20.5	0.98
22.5	0.979
24.5	0.977
26.5	0.977
28.5	0.976
32.5	0.974
36.5	0.972
40.5	0.97
44.5	0.967
48.5	0.966
52.5	0.963
56.5	0.961
60.5	0.959
68.5	0.955
76.5	0.95
84.5	0.947
92.5	0.942
101	0.938
109	0.934
117	0.929
125	0.926
141	0.918
157	0.91
173	0.902
189	0.894
205	0.886
221	0.878
237	0.871
253	0.863
285	0.849
317	0.834
349	0.82
381	0.806
413	0.793
445	0.78
477	0.767
509	0.754
573	0.73
637	0.707
701	0.685
765	0.664
829	0.643
893	0.624
957	0.605
1.02E+03	0.587
1.15E+03	0.553
1.28E+03	0.522
1.40E+03	0.493
1.53E+03	0.467
1.66E+03	0.442
1.79E+03	0.42
1.92E+03	0.399
2.04E+03	0.381
2.30E+03	0.348
2.56E+03	0.321
2.81E+03	0.297
3.07E+03	0.277
3.32E+03	0.26
3.58E+03	0.246
3.84E+03	0.236
4.09E+03	0.227
4.60E+03	0.211
5.12E+03	0.201
5.63E+03	0.195
6.14E+03	0.191
6.65E+03	0.187
7.16E+03	0.185
7.68E+03	0.185
8.19E+03	0.184
9.21E+03	0.181
1.02E+04	0.183
1.13E+04	0.185
1.23E+04	0.186
1.33E+04	0.183
1.43E+04	0.177
1.54E+04	0.171
1.64E+04	0.17
1.84E+04	0.169
2.05E+04	0.17
2.25E+04	0.171
2.46E+04	0.167
2.66E+04	0.171
2.87E+04	0.173
3.07E+04	0.174
3.28E+04	0.175
3.69E+04	0.167
4.10E+04	0.171
4.51E+04	0.17
4.91E+04	0.165
5.32E+04	0.173
5.73E+04	0.166
6.14E+04	0.169
6.55E+04	0.175
7.37E+04	0.167
8.19E+04	0.171
9.01E+04	0.177
9.83E+04	0.178
1.06E+05	0.168
1.15E+05	0.17
1.23E+05	0.165
1.31E+05	0.166
1.47E+05	0.166
1.64E+05	0.167
1.80E+05	0.168
1.97E+05	0.161
2.13E+05	0.158
2.29E+05	0.162
2.46E+05	0.165
2.62E+05	0.157
2.95E+05	0.149
3.28E+05	0.147
3.60E+05	0.147
3.93E+05	0.137
4.26E+05	0.135
4.59E+05	0.132
4.92E+05	0.127
5.24E+05	0.126
5.90E+05	0.114
6.55E+05	0.107
7.21E+05	0.0946
7.86E+05	0.0907
8.52E+05	0.0782
9.18E+05	0.072
9.83E+05	0.0588
1.05E+06	0.0491
1.18E+06	0.0386
1.31E+06	0.0306
1.44E+06	0.0234
1.57E+06	0.0153
1.70E+06	0.00859
1.84E+06	0.00233
1.97E+06	0.000745
2.10E+06	0
2.36E+06	0
2.62E+06	0.00435
2.88E+06	0.0117
3.15E+06	0.0189
3.41E+06	0.0227
3.67E+06	0.0279
3.93E+06	0.034
4.19E+06	0
4.72E+06	0
5.24E+06	0
5.77E+06	0
6.29E+06	0
6.82E+06	0
7.34E+06	0
7.86E+06	0
8.39E+06	0
9.44E+06	0
1.05E+07	0
1.15E+07	0
1.26E+07	0
1.36E+07	0
1.47E+07	0
1.57E+07	0
1.68E+07	0
1.89E+07	0
2.10E+07	0
2.31E+07	0
2.52E+07	0
2.73E+07	0
2.94E+07	0
3.15E+07	0
3.36E+07	0
3.77E+07	0
4.19E+07	0
4.61E+07	0
5.03E+07	0
5.45E+07	0
5.87E+07	0
